1 -- I've worked in design for:,2 --I primarily work in:,3 --I'm also good at:,4 --I am currently:,5 --My company specializes in:,6 --My company is:,7 --I teach:,8 --I'm not working because:,9 --My organization has:,10 --My immediate team is:,11 --My work touches these industries or sectors:,12 --I’ve been at my current place of work for:,13 --My role is:,14 --My role is:,15 --My role is:,16 --I've been in my current role for:,17 --I typically work:,18 --My annual salary is:,19 --My job provides:,"20 --In my current role, there is:","21 --In my current role, I am:",22 --My job is:,23 --My job stability is:,"24 --In addition to my job, I also:",25 --I fuel my daily creativity with coffee:,26 --Highest level of education I've completed:,27 --I learned design:,28 --My major focus of study was:,"29 --Over my career, I've had:",30 --I've shifted my specialty or focus area:,31 --I stay current with design by:,32 --I'm a member of:,33 --I'd like to get better at:,34 --I am:,"35 --Right now, I can't stop listening to:",36 --I live in:,37 --My age is:,38 --I am:,39 --I consider myself:,40 --My ethnicity is:,41 --The most critical issues and challenges currently facing design are (answer optional):,42 --The emerging trends and technologies that will have the biggest impact on design are (answer optional):,43 --The most valuable design skills for the future will be (answer optional):
Less than 1 year,Communication Design|Graphic Design|Interaction Design|Packaging Design,Brainstorming and Ideation|Diversity and Inclusion|Facilitation|Leadership|Writing,Not working,,,,Prefer not to say,,,,,,,,,,,,,,,,,1-2 cups,Bachelor's degree,In school,Advertising|Visual Design,2-3 design jobs,0 times,Discussing with peers|Following design feeds|Following social media|Having a mentor|Reading books/magazines|Reading online publications,AAF|Ad Club|AIGA,Animation|Brainstorming and Ideation|Diversity and Inclusion|Interaction Design|Leadership|Mentoring|Public Speaking|Research|Social Impact Design|Strategy|UI Design|UX Design|VR or AR Design,Working hard to find my next job,"LÉON, Regina Spektor",78133.0,22,Female,Not LGBTQ,White or Caucasian,Diversity in design and tech|Education cost and equity of access|Ethics in design,3D printing|Augmented Reality|Behavior tracking and modeling|Facial and voice recognition|Human augmentation|Virtual Reality,Adaptability to tech and social change|Asking good questions|Cross-cultural skills|Empathy|Improvisation|Psychology and human behavior|Systems thinking
Less than 1 year,Graphic Design|Illustration,None of these,Not working,,,,Prefer not to say,,,,,,,,,,,,,,,,,1-2 cups,Bachelor's degree,On my own|In school,Graphic Design|Illustration|Photography,1 design job,Slowly over time,Reading online publications,None of these,Brainstorming and Ideation|Business|Drawing or Painting|Interaction Design|Leadership|Motion Graphics|Photography|Project Management|Public Speaking,"Open to opportunities, but not actively looking",Fuel Fandango,33193.0,22,Female,Prefer not to say,"Latina, Latino, Latinx, or Hispanic",Consumer vs. social impact focus|Diversity in design and tech|Education cost and equity of access|Environmental impacts of design|Generational differences in the workforce|Trademark and patent issues,3D printing|Augmented Reality|Battery and energy technology|Biological or genetic design|Democratization of design|Facial and voice recognition|Internet of Things|Virtual Reality,Asking good questions|Communication skills|Cross-cultural skills|Cross-functional skills|Empathy|Improvisation|Observation and listening|Psychology and human behavior|Storytelling
15-20 years,Education|Social Impact Design,Diversity and Inclusion|Leadership,An educator,,,Undergraduate school|Graduate school,,1000+ employees,11-20 people,Advertising|Agriculture|Air Transportation|Alcohol or Tobacco|Apparel and Accessories|Architecture|Arts|Automotive|Banking|Biotechnology|Chemical|Computers|Construction|Consulting|Consumer Products|Education|Electronics|Energy|Entertainment|Financial Services|Food and Beverage|Gaming|Government|Information Sciences|Information Technology|Insurance|Legal|Manufacturing|Marketing and Communications|Media and Broadcasting|Medical Equipment|Mining|Music|Pharmaceutical|Publishing|Real Estate|Retail|Shipping|Sports and Fitness|Technology|Telecommunications|Transportation|Travel and Tourism|Utilities|Web Services,10+ years,,,Associate Professor,5-7 years,60+ hours per week,0.0,Commuting Benefits|Dental Insurance|Disability Insurance|Education Funding|Employer-matched Retirement|Fitness Benefits|Life Insurance|Medical Insurance|Paid Parental Leave|Paid Time Off|Wellness Programs,Some opportunity for advancement,Learning and increasing my skill set every day,Pretty good,Rock solid,Take occasional freelance projects|Design for friends and family|Maintain personal projects,Other,Master's degree,From a mentor or apprenticeship|From programs or workshops|On my own|On the job|Through online training|In school,Graphic Design,4-5 design jobs,3-4 times,Attending conferences|Discussing with peers|Following design feeds|Following social media|Having a mentor|Reading books/magazines|Reading online publications|Seeking online training,AIGA,Social Impact Design,"Open to opportunities, but not actively looking",0,,18,Other,Prefer not to say,Other,,,
Less than 1 year,Communication Design|Graphic Design|Illustration|Marketing|Packaging Design|Photography|Web Design,Brainstorming and Ideation|Coding|Drawing or Painting|Social Media|Writing,Not working,,,,,,,,,,,,,,,,,,,,,"No way, tea",Master's degree,On my own|Through online training|In school,Graphic Design|Marketing|Package Design,1 design job,0 times,Following design feeds|Following social media|Reading books/magazines|Reading online publications|Seeking online training,AIGA,Animation|Coding|Drawing or Painting|Motion Graphics|Web Design,"Open to opportunities, but not actively looking",The Stranger Things soundtrack,27707.0,30,Female,LGBTQ,White or Caucasian,"Consumer vs. social impact focus|Design not having a ""seat at the table""|Environmental impacts of design|Ethics in design|Generational differences in the workforce",3D printing|Behavior tracking and modeling,Adaptability to tech and social change|Play|Psychology and human behavior|Storytelling
1-4 years,Marketing,Brainstorming and Ideation|Business|Leadership|SEO/SEM|Social Media|Writing,A full-time employee at an agency or consultancy,Digital|Product Design|Service Design|Strategy,,,,51-100 employees,Just me,Banking|Consulting|Consumer Products|Education|Energy|Entertainment|Financial Services|Food and Beverage|Health Care|Hospitality|Insurance|Manufacturing|Marketing and Communications|Media and Broadcasting|Medical Equipment|Pharmaceutical|Publishing|Retail|Sports and Fitness|Technology|Transportation|Utilities|Web Services,1-2 years,Director,,,Less than 1 year,41-50 hours per week,0.0,Commuting Benefits|Dental Insurance|Disability Insurance|Education Funding|Employer-matched Retirement|Fitness Benefits|Life Insurance|Medical Insurance|Paid Parental Leave|Paid Time Off|Professional Development|Professional Memberships|Wellness Programs,Limited opportunity for advancement,Learning some new skills,Pretty good,Somewhat shaky,Take occasional freelance projects|Maintain personal projects,3-4 cups,Bachelor's degree,On the job,Communication|Digital Media|Journalism|Photography,2-3 design jobs,3-4 times,Attending conferences|Discussing with peers|Following design feeds|Following social media|Having a mentor|Reading books/magazines|Reading online publications,AIGA|Creative Mornings|IXDA,Business|Leadership|Mentoring|Photography|Product Design|Project Management|Public Speaking|Relationship Management|Research|SEO/SEM|Social Media|Writing,Casually looking for the right opportunity,Pissed Jeans,11216.0,31,Male,Not LGBTQ,White or Caucasian,None of these,AI and machine learning|Algorithmic design|Augmented Reality|Conversational interfaces|Democratization of design|Distributed teams and virtual workplace|Human augmentation,Algorithm and data model design|Communication skills|Managing complexity|Storytelling|Systems thinking|Voice interface design
Less than 1 year,Communication Design|Graphic Design|Illustration|Web Design,Coding|Drawing or Painting|Social Media,Other,,,,,Not sure,Just me,Advertising|Arts|Entertainment|Music,1-2 years,,,,3-4 years,Less than 40 hours per week,0.0,None of these,Promising opportunity for advancement,Learning and increasing my skill set every day,Pretty good,Rock solid,Design for friends and family|Volunteer,"No way, tea",Associate's degree,From programs or workshops|On the job|Through online training|In school,Advertising|Art|Communication|Design and Technology|Graphic Design|Illustration|Painting|Website Design,1 design job,1-2 times,Discussing with peers|Reading online publications|Seeking online training,AIGA,Brainstorming and Ideation|Coding|Drawing or Painting|Web Design,Casually looking for the right opportunity,One Direction,95926.0,22,Female,Not LGBTQ,White or Caucasian,Diversity in design and tech|Education cost and equity of access|Environmental impacts of design|Trademark and patent issues,3D printing|Facial and voice recognition|Internet of Things|Networked device ubiquity,Asking good questions|Communication skills|Cross-cultural skills|Empathy|Observation and listening
15-20 years,Education|Graphic Design|Marketing|Photography,Brainstorming and Ideation|Leadership|Mentoring|Project Management|Relationship Management|Social Media|Writing,Not working,,,,I was laid off,,,,,,,,,,,,,,,,,5-6 cups,Bachelor's degree,From a mentor or apprenticeship|On the job|In school,Graphic Design|Photography,6-7 design jobs,0 times,Attending conferences|Discussing with peers|Following design feeds|Following social media|Reading books/magazines|Reading online publications,AIGA|Freelancers Union,Interaction Design|Motion Graphics|UI Design|UX Design,Working hard to find my next job,"The National, ProtoMartyr, Spoon, lots of 80's/90's alternative and punk.",14727.0,39,Male,Not LGBTQ,White or Caucasian,Advertising supported content model|Algorithm bias|Ethics in design|Human-machine interface limitations|Machine ethics,AI and machine learning|Algorithmic design|Crowdsourcing and open source|Democratization of design|Distributed teams and virtual workplace,Adaptability to tech and social change|Communication skills|Cross-cultural skills|Cross-functional skills|Empathy|Interpersonal skills|Leadership|Storytelling
Less than 1 year,UX Design,Brainstorming and Ideation|Coding|Drawing or Painting|Facilitation|Writing,Not working,,,,Prefer not to say,,,,,,,,,,,,,,,,,1-2 cups,Bachelor's degree,From programs or workshops|In school,Animation,2-3 design jobs,1-2 times,Discussing with peers|Following design feeds|Following social media|Having a mentor|Reading online publications|Seeking online training,IXDA,UX Design,Working hard to find my next job,bebe rexha,8817.0,27,Female,Not LGBTQ,Asian,Dark UX patterns,Behavior tracking and modeling|Facial and voice recognition|Image recognition|Virtual Reality,Asking good questions|Communication skills|Data analysis|Psychology and human behavior|Risk tolerance|Systems thinking
20+ years,Environmental Design|Experience Design|Graphic Design|Interior Design|Photography|Product Design,Brainstorming and Ideation|Business|Leadership|Project Management|Relationship Management|Social Media,A full-time employee at an agency or consultancy,Branding|Digital|Print|Product Design|Service Design,,,,11-50 employees,11-20 people,Accounting|Advertising|Architecture|Construction|Health Care|Hospitality|Legal|Marketing and Communications|Web Services,10+ years,Executive,,,10+ years,41-50 hours per week,0.0,Dental Insurance|Disability Insurance|Employer-matched Retirement|Life Insurance|Medical Insurance|Paid Time Off|Professional Memberships,Some opportunity for advancement,Learning and increasing my skill set every day,Pretty good,Rock solid,Design for friends and family|Maintain personal projects|Volunteer,"No way, tea",Bachelor's degree,On the job,Graphic Design|Interior Architecture,1 design job,1-2 times,Discussing with peers|Following design feeds|Following social media|Having a mentor|Reading online publications,SEGD,Service Design,Not interested in a new job right now,The Foreign Exchange,60201.0,44,Female,Not LGBTQ,White or Caucasian,Generational differences in the workforce,None of these,Adaptability to tech and social change|Architecture and environmental design|Communication skills|Empathy|Managing complexity|Observation and listening|Psychology and human behavior|Storytelling|Systems thinking
1-4 years,Communication Design|Graphic Design|Illustration|Production|Research,Brainstorming and Ideation|Diversity and Inclusion|Drawing or Painting|Leadership|Mentoring|Project Management|Public Speaking|Writing,Not working,,,,Prefer not to say,,,,,,,,,,,,,,,,,1-2 cups,Bachelor's degree,On my own|On the job|In school,Communication|Graphic Design|Illustration|Painting|Printing or Print Making|Website Design,1 design job,Always ready for what's next,Discussing with peers|Following design feeds|Following social media|Reading books/magazines|Reading online publications|Seeking online training,AAF|AIGA,Animation|Business|Coding|Data Analysis|Leadership|Motion Graphics|Photography|Public Speaking|Strategy|Web Design,Working hard to find my next job,Nights by Overwerk,77004.0,26,Female,Not LGBTQ,White or Caucasian,"Design not having a ""seat at the table""",,Asking good questions|Communication skills|DIY or maker mentality|Improvisation|Interpersonal skills|Leadership|Observation and listening|Psychology and human behavior|Storytelling
15-20 years,Communication Design|Front-end Development|Graphic Design|Packaging Design,Diversity and Inclusion|Drawing or Painting|Leadership|Project Management|Relationship Management,Not working,,,,I was laid off,,,,,,,,,,,,,,,,,1-2 cups,Bachelor's degree,On my own|On the job|Through online training|In school,Advertising|Communication|Graphic Design|Illustration|Photography|UX and UI|Website Design,4-5 design jobs,1-2 times,Following design feeds|Reading online publications|Seeking online training,None of these,Animation|Brainstorming and Ideation|Motion Graphics|Social Media|Web Design,Working hard to find my next job,audible books,16046.0,54,Female,Not LGBTQ,White or Caucasian,Algorithm bias|Diversity in design and tech|Education cost and equity of access|Generational differences in the workforce,3D printing|AI and machine learning|Biological or genetic design|Crowdsourcing and open source|Internet of Things,Adaptability to tech and social change|Cross-cultural skills|Leadership|Managing complexity
20+ years,Communication Design|Education|Graphic Design|Industrial Design|Photography|Web Design,Brainstorming and Ideation|Leadership|Mentoring|Public Speaking,Not working,,,,I'm retired or semi-retired,,,,,,,,,,,,,,,,,3-4 cups,Master's degree,From a mentor or apprenticeship|From programs or workshops|In school,Design and Technology|Industrial Design|Product Design|Strategic Design Management,6-7 design jobs,Slowly over time,Attending conferences|Discussing with peers|Following design feeds|Reading books/magazines|Reading online publications,None of these,Drawing or Painting|Social Impact Design,"Open to opportunities, but not actively looking",folk music,,64,Male,Not LGBTQ,White or Caucasian,"Consumer vs. social impact focus|Design not having a ""seat at the table""|Diversity in design and tech|Education cost and equity of access|Environmental impacts of design|Ethics in design",3D printing|Battery and energy technology|Distributed teams and virtual workplace|Miniaturization and nanotechnology,Adaptability to tech and social change|Asking good questions|Cross-functional skills|Data analysis|Observation and listening|Psychology and human behavior
20+ years,UX Design,Brainstorming and Ideation|Business|Leadership|Mentoring|Public Speaking|Social Media|Writing,Other,,,,,101-250 employees,Just me,Government|Health Care,Less than 1 year,,,,Less than 1 year,41-50 hours per week,0.0,Dental Insurance|Disability Insurance|Education Funding|Employer-matched Retirement|Life Insurance|Medical Insurance|Paid Time Off|Professional Development,Some opportunity for advancement,Learning and increasing my skill set every day,Pretty good,Fairly stable,Teach,1-2 cups,Bachelor's degree,From programs or workshops|On my own|On the job,Other,8-10 design jobs,Slowly over time,Attending conferences|Discussing with peers|Following design feeds|Following social media,None of these,AI or Algorithm Design|Brainstorming and Ideation|Business|Leadership|Public Speaking|Service Design|Strategy|VR or AR Design,Not interested in a new job right now,The news,21211.0,48,Female,Not LGBTQ,White or Caucasian,Dark UX patterns|Diversity in design and tech|Ethics in design|Machine ethics,Algorithmic design|Behavior tracking and modeling|Facial and voice recognition|Miniaturization and nanotechnology,Algorithm and data model design|Communication skills|Data analysis|Empathy|Improvisation|Interpersonal skills|Leadership|Managing complexity|Observation and listening|Psychology and human behavior|Systems thinking|Voice interface design
5-9 years,Graphic Design|Interaction Design|Product Design|UI Design|UX Design|Web Design,Brainstorming and Ideation|Coding|Mentoring|Writing,Not working,,,,I quit,,,,,,,,,,,,,,,,,1-2 cups,Bachelor's degree,From a mentor or apprenticeship|On my own|On the job|In school,Information Technology,4-5 design jobs,1-2 times,Discussing with peers|Following design feeds|Having a mentor|Reading online publications,None of these,AI or Algorithm Design|Animation|Brainstorming and Ideation|Business|Data Analysis|Interaction Design|Leadership|Mentoring|Product Design|Public Speaking|Relationship Management|Strategy|UI Design|UX Design|Web Design|Writing,"Open to opportunities, but not actively looking",Caroline - Amine,10002.0,25,Female,Not LGBTQ,Asian,None of these,AI and machine learning,Psychology and human behavior
5-9 years,AI or Algorithm Design|Experience Design|Interaction Design|Product Design|UI Design|UX Design,Brainstorming and Ideation|Leadership|Mentoring|Relationship Management,A full-time employee in-house,,For-Profit/Corporate,,,1000+ employees,20+ people,Consumer Products|Energy,3-4 years,,Team Leader,,Less than 1 year,40 hours per week,300000.0,Child Care|Commuting Benefits|Dental Insurance|Disability Insurance|Education Funding|Employer-matched Retirement|Fitness Benefits|Life Insurance|Medical Insurance|Paid Parental Leave|Paid Time Off|Professional Development|Professional Memberships|Profit Sharing or Stock Options|Wellness Programs,Some opportunity for advancement,Learning some new skills,Pretty good,Fairly stable,None of these,Other,Some college,From programs or workshops|On my own|On the job|Through online training,UX and UI|Website Design,4-5 design jobs,1-2 times,Discussing with peers|Following design feeds,None of these,AI or Algorithm Design|Leadership|Mentoring,"Open to opportunities, but not actively looking",Missio,80302.0,33,Male,Not LGBTQ,White or Caucasian,Algorithm bias|Dark UX patterns,AI and machine learning|Algorithmic design|Augmented Reality|Human augmentation|Virtual Reality,Algorithm and data model design|Communication skills|Voice interface design
1-4 years,Graphic Design|Social Impact Design|UX Design|Web Design,Brainstorming and Ideation|Coding|Public Speaking,Not working,,,,Prefer not to say,,,,,,,,,,,,,,,,,Other,Bachelor's degree,From a mentor or apprenticeship|From programs or workshops|On my own|On the job|Through online training|In school,Graphic Design|Multimedia,2-3 design jobs,Always ready for what's next,Attending conferences|Discussing with peers|Following design feeds|Following social media|Having a mentor|Reading books/magazines|Reading online publications|Seeking online training,AIGA|Creative Mornings,Coding|Motion Graphics|SEO/SEM|Social Media,Working hard to find my next job,Quinn XCII,60010.0,22,Male,Not LGBTQ,White or Caucasian,Ethics in design|Generational differences in the workforce,AI and machine learning|Augmented Reality|Battery and energy technology|Virtual Reality,Asking good questions|Empathy|Interpersonal skills|Storytelling
1-4 years,Industrial Design,Brainstorming and Ideation|Drawing or Painting|Social Media,Not working,,,,,,,,,,,,,,,,,,,,,3-4 cups,Bachelor's degree,On my own|On the job|In school,Graphic Design|Industrial Design,1 design job,1-2 times,Discussing with peers|Following design feeds|Following social media|Reading online publications,None of these,Brainstorming and Ideation|Leadership|Mentoring|Motion Graphics|Photography|Product Design|Project Management|Public Speaking|Research|Sales|Social Media|Strategy|UI Design|UX Design|Web Design|Writing,Working hard to find my next job,Downtempo/Trip Hop,,23,Male,Prefer not to say,White or Caucasian,Advertising supported content model|Consumer vs. social impact focus|Environmental impacts of design,3D printing|AI and machine learning|Algorithmic design|Battery and energy technology|Behavior tracking and modeling|Biological or genetic design|Democratization of design|Human augmentation|Internet of Things|Miniaturization and nanotechnology,Adaptability to tech and social change|Algorithm and data model design|Asking good questions|Communication skills|Empathy|Improvisation|Interpersonal skills|Managing complexity|Play|Psychology and human behavior|Storytelling
1-4 years,Product Design|UI Design|Web Design,Coding|Drawing or Painting,Not working,,,,I was laid off,,,,,,,,,,,,,,,,,1-2 cups,Bachelor's degree,On my own|On the job,Computer Science,2-3 design jobs,0 times,Following design feeds|Following social media|Reading books/magazines|Reading online publications,IXDA,Interaction Design,Working hard to find my next job,Coast Modern,,24,Male,Not LGBTQ,White or Caucasian,Advertising supported content model|Consumer vs. social impact focus|Ethics in design,AI and machine learning|Biological or genetic design|Human augmentation,Algorithm and data model design|Managing complexity|Psychology and human behavior
20+ years,Animation|Graphic Design|Marketing|Motion Graphics|UI Design|UX Design|Web Design,Brainstorming and Ideation|Leadership|Social Media|Writing,A full-time employee at an agency or consultancy,Advertising|Digital|Innovation|Service Design|Strategy,,,,1000+ employees,11-20 people,Advertising|Apparel and Accessories|Automotive|Computers|Consumer Products|Electronics|Entertainment|Marketing and Communications|Web Services,3-4 years,Creative Director,,,3-4 years,41-50 hours per week,0.0,Dental Insurance|Disability Insurance|Life Insurance|Medical Insurance|Paid Parental Leave|Paid Time Off,Limited opportunity for advancement,Learning very little,Pretty good,Somewhat shaky,None of these,"No way, tea",Bachelor's degree,On my own|On the job|In school,Art|Graphic Design|Journalism,10+ design jobs,3-4 times,Discussing with peers|Following design feeds,AIGA,Motion Graphics|VR or AR Design,Casually looking for the right opportunity,Liars,90026.0,47,Prefer not to say,Prefer not to say,Prefer not to say,Advertising supported content model|Consumer vs. social impact focus|Machine ethics,AI and machine learning|Augmented Reality|Internet of Things|Virtual Reality,Adaptability to tech and social change|Cross-functional skills
Less than 1 year,Graphic Design,Brainstorming and Ideation|Drawing or Painting|Leadership|Social Media|Writing,Other,,,,,Not sure,Just me,Education,Less than 1 year,,,,Less than 1 year,41-50 hours per week,0.0,None of these,Not sure,Learning and increasing my skill set every day,Pretty good,Non-existent,Take occasional freelance projects|Have a part-time job,"No way, tea",Some college,From a mentor or apprenticeship|From programs or workshops|On my own|On the job|In school,Graphic Design,2-3 design jobs,0 times,Attending conferences|Discussing with peers|Following design feeds|Following social media|Having a mentor|Seeking online training,AIGA,Interaction Design|Photography|Social Impact Design|Social Media|Writing,Casually looking for the right opportunity,Music,60123.0,21,Female,Not LGBTQ,Other,,Battery and energy technology|Image recognition|Virtual Reality,Adaptability to tech and social change|Cross-cultural skills|Interpersonal skills|Psychology and human behavior
5-9 years,Graphic Design,Brainstorming and Ideation|Coding|Data Analysis|Drawing or Painting|Facilitation|Leadership|Project Management|Public Speaking|Sales|Social Media|Writing,Not working,,,,I was laid off,,,,,,,,,,,,,,,,,"No way, tea",Bachelor's degree,In school,Graphic Design,4-5 design jobs,3-4 times,Discussing with peers|Following design feeds|Following social media|Reading online publications,AIGA,Coding|Interaction Design|Motion Graphics|UI Design|Web Design,Working hard to find my next job,R&B/Hip Hop,90302.0,23,Female,Not LGBTQ,Black or African American,Diversity in design and tech|Education cost and equity of access,Distributed teams and virtual workplace|Virtual Reality,Adaptability to tech and social change|Architecture and environmental design|Cross-cultural skills|Improvisation|Interpersonal skills|Leadership|Voice interface design
15-20 years,Communication Design|Experience Design|Fashion Design|Graphic Design|Product Design|Research|Service Design|Strategy|UI Design|UX Design|Web Design,Brainstorming and Ideation|Business|Diversity and Inclusion|Facilitation|Leadership|Mentoring|Project Management|Public Speaking|Relationship Management,A full-time employee in-house,,For-Profit/Corporate,,,1000+ employees,11-20 people,Consumer Products|Retail|Web Services,8-10 years,,Senior Executive,,10+ years,41-50 hours per week,230000.0,Commuting Benefits|Dental Insurance|Disability Insurance|Employer-matched Retirement|Fitness Benefits|Life Insurance|Medical Insurance|Paid Parental Leave|Paid Time Off|Professional Development|Profit Sharing or Stock Options|Wellness Programs,Some opportunity for advancement,Learning some new skills,Pretty good,Fairly stable,Own my own business|Take occasional freelance projects|Have a part-time job|Maintain personal projects|Teach,1-2 cups,Master's degree,In school,Animation|Design and Technology|Graphic Design|Motion Graphics|Photography|Sculpture|Visual Design|Website Design,4-5 design jobs,0 times,Following design feeds|Following social media|Reading books/magazines,None of these,Business|Leadership,"Open to opportunities, but not actively looking",lots of things,10016.0,37,Male,Not LGBTQ,White or Caucasian,"Design not having a ""seat at the table""|Environmental impacts of design|Ethics in design|Human-machine interface limitations|Machine ethics",3D printing|AI and machine learning|Algorithmic design|Augmented Reality|Human augmentation|Virtual Reality,Adaptability to tech and social change|Asking good questions|Communication skills|Empathy|Managing complexity|Psychology and human behavior|Systems thinking
5-9 years,Film and Video|Graphic Design|Marketing,Diversity and Inclusion|Drawing or Painting|Social Media,Not working,,,,I quit,,,,,,,,,,,,,,,,,"No way, tea",Bachelor's degree,On my own,Graphic Design|Photography|Printing or Print Making,2-3 design jobs,Always ready for what's next,Following design feeds|Following social media|Reading books/magazines|Reading online publications,None of these,Drawing or Painting|Motion Graphics|Project Management|UI Design,Working hard to find my next job,ODESZA,97207.0,36,Male,LGBTQ,White or Caucasian,Advertising supported content model|Algorithm bias|Consumer vs. social impact focus|Education cost and equity of access|Environmental impacts of design|Generational differences in the workforce|Human-machine interface limitations,Behavior tracking and modeling|Facial and voice recognition|Virtual Reality,Communication skills|Data analysis|Empathy|Interpersonal skills
20+ years,Experience Design|Graphic Design|Interaction Design|Strategy|UI Design|UX Design|Web Design,Brainstorming and Ideation|Business|Facilitation|Leadership|Mentoring|Project Management|Relationship Management|Sales|Writing,A full-time employee at an agency or consultancy,Digital|Innovation|Product Design|Strategy,,,,251-500 employees,20+ people,Financial Services,8-10 years,Director,,,5-7 years,41-50 hours per week,280000.0,Commuting Benefits|Dental Insurance|Disability Insurance|Employer-matched Retirement|Life Insurance|Medical Insurance|Paid Parental Leave|Paid Time Off|Professional Development|Wellness Programs,Promising opportunity for advancement,Learning some new skills,Pretty good,Fairly stable,Design for friends and family|Maintain personal projects|Volunteer,1-2 cups,Bachelor's degree,On the job,Other,4-5 design jobs,1-2 times,Discussing with peers|Following design feeds|Following social media|Reading books/magazines|Reading online publications,None of these,Public Speaking|Service Design,"Open to opportunities, but not actively looking",Metric,10549.0,42,Male,Not LGBTQ,White or Caucasian,Advertising supported content model|Dark UX patterns|Ethics in design,AI and machine learning|Augmented Reality|Behavior tracking and modeling|Conversational interfaces|Internet of Things|Miniaturization and nanotechnology|Networked device ubiquity,Adaptability to tech and social change|Asking good questions|Communication skills|Empathy|Facilitation|Improvisation|Observation and listening|Psychology and human behavior|Storytelling|Voice interface design
1-4 years,Animation|Experience Design|Film and Video|Game Design|Graphic Design|Illustration|Motion Graphics|VR or AR Design|Web Design,Brainstorming and Ideation|Diversity and Inclusion|Drawing or Painting|Mentoring,Not working,,,,Prefer not to say,,,,,,,,,,,,,,,,,1-2 cups,Bachelor's degree,On my own|Through online training|In school,Art|Design and Technology|Digital Media|Graphic Design|Illustration|Painting|Sculpture|Visual Design,2-3 design jobs,Always ready for what's next,Following design feeds|Following social media|Seeking online training,None of these,Animation|Brainstorming and Ideation|Business|Coding|Interaction Design|Leadership|Motion Graphics|Photography|Social Impact Design|Social Media|VR or AR Design|Web Design|Writing,Casually looking for the right opportunity,Stranger Things Soundtrack,92126.0,25,Male,Not LGBTQ,"Latina, Latino, Latinx, or Hispanic|White or Caucasian",Consumer vs. social impact focus|Dark UX patterns|Environmental impacts of design|Ethics in design|Generational differences in the workforce|Human-machine interface limitations,3D printing|AI and machine learning|Augmented Reality|Behavior tracking and modeling|Biological or genetic design|Conversational interfaces|Facial and voice recognition|Human augmentation|Internet of Things|Miniaturization and nanotechnology|Quantum computing|Virtual Reality,Adaptability to tech and social change|Asking good questions|Communication skills|Cross-cultural skills|DIY or maker mentality|Empathy|Improvisation|Play|Risk tolerance|Systems thinking
5-9 years,Communication Design|Experience Design|Graphic Design|UI Design|UX Design|Web Design,Coding|Leadership,Not working,,,,,,,,,,,,,,,,,,,,,Other,Bachelor's degree,In school,Communication,2-3 design jobs,1-2 times,Discussing with peers|Following design feeds|Reading books/magazines|Reading online publications,None of these,Animation|Coding|Drawing or Painting|Interaction Design|Leadership|Motion Graphics|Product Design|Service Design|Web Design,Working hard to find my next job,Travis Scott,,28,Male,Not LGBTQ,White or Caucasian,Environmental impacts of design|Ethics in design,AI and machine learning|Democratization of design,Adaptability to tech and social change|Communication skills|Cross-functional skills|Systems thinking
20+ years,Communication Design|Front-end Development|Marketing|Web Design,Brainstorming and Ideation|Business|Leadership|Relationship Management,A full-time employee at an agency or consultancy,Branding|Service Design,,,,11-50 employees,11-20 people,Banking|Consumer Products|Electronics|Financial Services|Food and Beverage|Marketing and Communications|Pharmaceutical|Retail|Technology|Web Services,8-10 years,Owner/Partner,,,8-10 years,60+ hours per week,250000.0,Commuting Benefits|Dental Insurance|Disability Insurance|Employer-matched Retirement|Life Insurance|Medical Insurance|Paid Parental Leave|Paid Time Off|Professional Development,Promising opportunity for advancement,Learning and increasing my skill set every day,The best,Rock solid,None of these,3-4 cups,Bachelor's degree,In school,Graphic Design,4-5 design jobs,Slowly over time,Attending conferences|Discussing with peers|Following design feeds,AIGA|Creative Mornings,Leadership|Public Speaking|Strategy,Not interested in a new job right now,podcasts,6855.0,41,Male,Not LGBTQ,White or Caucasian,None of these,AI and machine learning|Behavior tracking and modeling|Crowdsourcing and open source|Facial and voice recognition,Asking good questions|Managing complexity|Observation and listening|Storytelling
1-4 years,Graphic Design|Photography,None of these,A contract employee at an agency or consultancy,Advertising,,,,1000+ employees,5-10 people,Advertising|Apparel and Accessories|Architecture|Arts|Computers|Consumer Products|Education|Electronics|Entertainment|Food and Beverage|Gaming|Industrial Goods|Information Technology|Marketing and Communications|Media and Broadcasting|Music|Publishing|Retail|Sports and Fitness|Technology|Travel and Tourism|Web Services,Less than 1 year,Junior contributor,,,Less than 1 year,40 hours per week,0.0,None of these,Limited opportunity for advancement,Learning and increasing my skill set every day,Pretty good,Somewhat shaky,Take occasional freelance projects|Design for friends and family|Maintain personal projects|Volunteer,Other,Bachelor's degree,From a mentor or apprenticeship|From programs or workshops|On my own|On the job|Through online training|In school,Architecture|Graphic Design,4-5 design jobs,1-2 times,Attending conferences|Discussing with peers|Following design feeds|Following social media|Reading books/magazines|Reading online publications|Seeking online training,None of these,Brainstorming and Ideation|Coding|Diversity and Inclusion|Facilitation|Interaction Design|Leadership|Mentoring|Motion Graphics|Photography|Product Design|Project Management|Public Speaking|Research|UI Design|UX Design|Writing,"Open to opportunities, but not actively looking",Freedom by George Michael,97086.0,23,Male,Not LGBTQ,Asian,Consumer vs. social impact focus|Diversity in design and tech|Ethics in design|Generational differences in the workforce,,
